stop_name,unique_route_count
Blaisy-Bas,2
Blankenburg,2
Blanzy,2
Blaubeuren,2
Blaustein,2
Bleien Liebegg,1
Blitzingen,1
Blonay,3
Bludenz,1
Blumenau,4
Bléré-la-Croix,2
Boden,2
Bodio TI,3
Bogny-sur-Meuse,1
Bois-d'Oingt - Légny,1
Bois-de-Chexbres,1
Boisset,2
Boll-Utzigen,1
Bollement,1
Bolligen,1
Bollwiller,3
Bollène-la-Croisière,6
Bologna Centrale,1
Bologne,3
Boltigen,3
Bonaduz,6
Boncourt,3
Bonfol,2
Boniswil,1
Bonneville,4
Bons-en-Chablais,2
Bonson,1
Bonstetten-Wettswil,3
Bordeaux-St-Jean,1
Bossière,4
Bossonnens,2
Boswil-Bünzen,3
Bottighofen,1
Boudry,1
Boudry Littorail,1
Boudry Tuilière,1
Bouquetins,1
Bourg-Bruche,1
Bourg-Saint-Maurice,5
Bourg-en-Bresse,7
Bourges,7
Bourgoin-Jallieu,5
Bouthéon,1
Bouveret,1
Bovernier,2
Bowil,1
Boën,1
Brandegg,1
Brassac-les-Mines-Ste-Florine,7
Brazey-en-Plaine,1
Bregenz,3
Bregenz Hafen,1
Bregenz Riedenburg,1
Breitenbach (F),1
Breitlauenen,1
Bremgarten,1
Bremgarten Isenlauf,1
Bremgarten Obertor,1
Bremgarten West,1
Brenzikofen,2
Brescia,1
Brest (F),1
Bretenoux-Biars,2
Bretigny - Norges,1
Bretonnières,2
Breuil - Romain,1
Briançon,2
Briare,1
Brienz,3
Brienz BRB,1
Brienz West,2
Brienzer Rothorn,2
Brienzwiler,2
Brig,10
Brig Bahnhofplatz,3
Brigachtal Kirchdorf,1
Brigachtal-Klengen,1
Brignais,1
Brignoud,2
Brion-Montréal-La-Cluse,2
Brioude,4
Brittnau-Wikon,3
Brive-la-Gaillarde,1
Broc-Chocolaterie,2
Broc-Village,2
Bronschhofen,1
Bronschhofen AMP,1
Broye,1
Bruchhausen (b Ettl),1
Brugg AG,10
Brumath,3
Brunnadern-Neckertal,3
Brunnen,4
Brusio,2
Bruxelles-Midi,3
Bruyères,1
Brügg BE,1
Brünig-Hasliberg,2
Brüttelen,1
Bubikon,5
Buchli,1
Buchrain,1
Buchs AG,1
Buchs SG,4
Buchs-Dällikon,1
Buckten,1
Buggingen,1
Bugnei,2
Buix,3
Bulle,4
Burgdorf,5
Burgdorf Buchmatt,2
Burgdorf Steinhof,3
Burghalden,1
Burgholz,1
Burgistein,2
Burglauenen,1
Burier,3
Busseau-sur-Creuse,1
Bussigny,5
Bussnang,1
Busswil BE,2
Bussy-Chardonney,1
Busto Arsizio,1
Busto Arsizio Nord,1
Buttes,1
Byans,2
Bäch SZ,3
Bätterkinden,2
Béard,3
Bédarieux,1
Bédarrides,5
Bénestroff,1
Béning-lès-Saint-Avold,2
Bétaille,1
Bévieux,1
Béziers,5
Bôle,1
Böblingen,1
Böblingen Danziger Str.,1
Böblingen Heusteigstr.,1
Böblingen Süd,1
Böblingen Zimmerschlag,1
Böhringen-Rickelshausen,1
Bühl (Baden),1
Bühler,1
Bülach,8
Büren an der Aare,1
Büren zum Hof,1
Bürglen TG,3
Bütschwil,1
Cadenazzo,5
Cadera,1
Calde,1
Camedo,3
Camnago-Lentate,2
Campagnac-St-Geniez,1
Campascio,1
Campocologno,2
Cannes,3
Cantello Gaggiolo,2
Cantù-Cermenate,2
Capdenac,2
Capolago-Riva S. Vitale,3
Cappella-Agnuzzo,1
Carcassonne,1
Carignan,1
Carimate,2
Casino Lacroix Laval,1
Caslano,1
Castione-Arbedo,4
Castrisch,2
Castronno,2
Caux,1
Cavadürli,2
Cavaglia,2
Cavaria-Oggiona-Ierago,2
Cavigliano,2
Cazis,4
Ceilhes-Roqueredonde,1
Celerina,5
Celerina Staz,2
Cercy-la-Tour,1
Cernay,1
Cery-Fleur-de-Lys,1
Cessieu,1
Ceyzériat,2
Chabons,2
Chagny,3
Chalon-sur-Saône,4
Cham,2
Cham Alpenblick,1
Chamalières-sur-Loire,1
Chamborigaud,1
Chambrelien,2
Chamby,4
Chamby-Musée,1
Chambéry-Challes-les-Eaux,18
Chambésy,5
Chamelet,1
Chamonix-Aiguille du Midi,1
Chamonix-Mont-Blanc,1
Chamoson-St-Pierre-de-Clages,1
Chamousset,1
Champ-du-Moulin,1
Champagne-Ardenne TGV,11
Champagne-sur-Seine,1
Champagney,2
Champagnole,1
Champagnole Paul-Émile Victor,1
Champigneulles,2
Champigny-sur-Yonne,6
Champs St-Bris,2
Champéry,1
Champéry-Village,1
Chantenay-Saint-Imbert,3
Chapeauroux,1
Chaponost,1
Charbonnières-les-Bains,1
Chardonney-Château,1
Charleville-Mézières,5
Charmes,3
Charrat-Fully,1
Chasse-sur-Rhône,1
Chauffailles,1
Chaugey,1
Chaumont,4
"Chavannes-R., Crochy",1
"Chavannes-R., UNIL-Chamberonne",1
"Chavannes-R., UNIL-Mouline",1
Chavornay,3
Chazay - Marcilly,2
Chedde,1
Cheilly-lès-Maranges,2
Chemex,1
Chemilly-Appoigny,5
Chenevières,1
Chenonceaux,2
Chernex,4
Cheseaux,1
Chessy,1
Chevillon,3
Chexbres-Village,1
Cheyres,1
Chez-le-Maître-Ecoles,1
Chiasso,6
Chigny,1
Chindrieux,1
Chissay-en-Touraine,1
Chorges,2
Chur,9
Chur Altstadt,2
Chur West,6
Chur Wiesental,3
Châlons-en-Champagne,10
Château-Thierry,2
Château-d'Hauteville,2
Château-d'Oex,5
Château-d'Oex La Palaz,3
Château-de-Blonay,2
Châteauneuf-Conthey,1
Châteauneuf-sur-Cher,4
Châtel - Nomexy,3
Châtel-Censoir,2
Châtel-St-Denis,2
Châtelard VD,2
Châtillens,3
Châtillon d'Azergues,1
Chénens,3
Chêne-Bourg,6
Cinuos-chel-Brail,1
Ciry-le-Noble,2
Civrieux-d'Azergues,1
Cize-Bolozon,2
Clamecy,2
Clarens,3
Clelles-Mens,2
Clermont la Pardieu,6
Clermont la Rotonde,1
Clermont-Ferrand,11
Clerval,3
Cluses (Haute-Savoie),5
Col-de-Bretaye,1
Col-de-Soud,1
Collombey,1
Collombey-Village,1
Collonges,1
Collonges - Fontaines,2
Colmar,7
Colmar Mésanges,1
Colmar Saint-Joseph,1
Colmegna,1
Colombier NE,1
Colombier NE Allées Littorail,1
Colombier NE Les Chézards,1
Colombier NE Littorail,1
Colombier-Fontaine,3
Combe-Tabeillon,1
Commentry,2
Commercy,3
Como Camerlata,3
Como S. Giovanni,4
Concise,1
Conflans - Jarny,4
Contrexéville,2
Coppet,5
Corbier,1
Corcapolo,2
Corcelles BE,1
Corcelles-Nord,1
Corcelles-Peseux,1
Corcelles-Sud,1
Cordes-Vindrac,1
Corgoloin,1
Corgémont,1
Cormoret,1
Cornaux NE,2
Corseaux-Cornalles,1
Cortébert,1
Cosne-sur-Loire,2
Cossonay-Penthalaz,5
Cottens FR,3
Coucy-lès-Eppes,1
Coulanges-sur-Yonne,2
Courcelles-sur-Nied,2
Courchavon,3
Courcy - Brimont,1
Courfaivre,4
Courgenay,4
Court,1
Courtelary,2
Courtemaîche,3
Courtepin,2
Courthézon,5
Courtételle,4
Cousance,2
Cousset,1
Couvet,1
Couzon-au-Mont-d'Or,2
Cravant-Bazarnes,3
Creggio,1
Cressier FR,2
Cressier NE,2
Crest,2
Creux-de-Genthod,5
Croix-du-Nant,1
Croy-Romainmôtier,3
Crémines,1
Crémines-Zoo,1
Crépieux la Pape,1
Crêches-sur-Saône,4
Crêt-d'y-Bau,1
Cucciago,2
Cugy FR,1
Cully,6
Culmont - Chalindrey,5
Culoz,6
Dachsen,3
Dachstein,3
Dagmersellen,3
Dallenwil,2
Dambach-la-Ville,2
Danjoutin,1
Dannemarie,1
Dannemarie - Velesmes,1
Dardilly - Le Jubin,1
Dardilly les Mouilles,1
Darsac,1
Davos Dorf,3
Davos Frauenkirch,3
Davos Glaris,3
Davos Laret,2
Davos Monstein,3
Davos Platz,5
Davos Wiesen,3
Davos Wolfgang,3
Decize,2
Degersheim,4
Deisslingen Mitte,1
Deisswil,1
Deitingen,1
Delle,4
Deluz,2
Delémont,5
Denges-Echandens,3
Denzlingen,2
Desio,2
Dettenhausen,1
Dettwiller,1
Deville,1
Die,2
Dielsdorf,1
Diemeringen,1
Dieni,2
Diepflingen,1
Diesbach-Betschwanden,2
Diessenhofen,1
Dietfurt,1
Dietikon,11
Dietikon Schöneggstrasse,1
Dietikon Stoffelbach,1
Dietlikon,7
Dieulouard,1
Digoin,2
Dijon,15
Dijon Porte Neuve,2
Dinhard,1
Dippach-Reckange,1
Disentis/Mustér,5
Distelberg,1
Dogern,2
Dole,6
Domat/Ems,8
Domat/Ems Werk,7
Dombasle-sur-Meurthe,5
Domblans - Voiteur,2
Domdidier,1
Dommartin - Lissieu,1
Domodossola (I),4
Dompierre FR,1
Dompierre Sept Fons,2
Donaueschingen,1
Donaueschingen Grüningen,1
Donaueschingen Mitte/Siedl.,1
Donaueschingen-Aufen,1
Donchery,1
Donjeux,3
Donzère,6
Dorlisheim,2
Dormans,2
Dornach-Arlesheim,1
Dornbirn,2
Dottikon-Dintikon,4
Dotzigen,1
Douai,2
Druogno,2
Drusenheim,1
Duggingen,1
Dulliken,6
Duppigheim,3
Durtol - Nohanent,1
Dusslingen,1
Duttlenheim,3
Däniken SO,6
Därstetten,1
Döttingen,2
Dübendorf,4
Düdingen,4
Dürrenroth,1
Eberfingen,2
Ebersheim,1
Ebikon,5
Ebligen,2
Ebnat-Kappel,1
Ebringen,1
Echallens,1
Echirolles,4
Eclépens,3
Ecole-Valentin,1
"Ecublens VD, Bassenges",1
"Ecublens VD, Cerisaie",1
"Ecublens VD, EPFL",1
"Ecublens VD, Epenex",1
"Ecublens VD, UNIL-Sorge",1
Ecublens-Rue,3
Edenkoben,1
Edesheim (Pfalz),1
Effretikon,7
Efringen-Kirchen,2
Egerkingen,1
Eggerberg,2
Eggingen,2
Eglisau,4
Egnach,1
Ehingen (Donau),2
Ei im Emmental,1
Eichhoffen,2
Eifeld,1
Eigergletscher,1
Eiken,1
Eimeldingen,2
Einsiedeln,2
Einvaux,3
Elgg,3
Embrach-Rorbas,1
Embrun,2
Emmenbrücke,4
Emmenbrücke Gersag,3
Emmenbrücke Kapf,2
Emmendingen,2
Emmenmatt,1
En Charnet,1
Enge im Simmental,1
Engelberg,1
Engen,3
Ennenda,2
Enney,1
Entlebuch,2
Entzheim Aéroport,4
Enzisweiler,2
"Epalinges, Croisettes",1
Ependes VD,3
Epesses,5
Epfig,2
Epierre-St-Léger,1
Erbach (Württ),2
Erdmannlistein,1
Erfurt Hbf,1
Eriskirch,1
Erlen,2
Erlenbach ZH,3
Erlenbach im Simmental,3
Ermatingen,1
Ermensee,1
Erstein,2
Erstfeld,4
Erzingen (Baden),3
Eschenbach LU,1
Eschenz,1
Eschlikon TG,3
Escholzmatt,2
Essert-Pittet,2
Essert-sous-Champvent,1
Esslingen (Neckar),2
Estavayer-le-Lac,1
Estressin,1
Etagnières,1
Etiez,2
Etigny-Véron,6
Etoy,3
Ettlingen West,1
Etzwilen,2
Evian-les-Bains,3
Evionnaz,1
Ewil Maxon,1
Exergillod,1
Eyach,2
Eyholz,2
Fahrnau,2
Faido,3
Faoug,2
Farschviller,1
Farébersviller,1
Faulquemont,2
Fayaux,1
Fayot,1
Fegersheim - Lipsheim,1
Fehraltorf,3
Felben-Wellhausen,3
Feldbach,2
Feldbrunnen,1
Feldkirch,5
Fellering,1
Felsberg,7
Ferno-Lonate Pozzolo,1
Feuerthalen,1
Feurs,1
Fey,1
Feyzin,1
Fideris,6
Fiesch,2
Fiesch Feriendorf,2
Figeac,2
Figueras Vilafant,1
Filisur,9
Findelbach,1
Finhaut,1
Firenze S. M. N.,1
Firminy,2
Fischenthal,1
Fismes,1
Flamatt,4
Flamatt Dorf,1
Flawil,5
Flaxlanden,1
Flendruz,3
Fleurier,1
Fleurieux-sur-l'Arbresle,1
Fleurville - Pont-de-Vaux,1
Fleury-les-Aubrais,1
Flumenthal,1
Flums,2
Flüelen,6
Folsogno-Dissimo,1
Fons-St-Mamert,2
Fontaines - Mercurey,1
Fontanivent,4
Fontannaz-Seulaz,1
Fontanney,1
Fontenoy-sur-Moselle,3
Forbach,2
Forst (FL) Hilti,2
Fouday,1
Foug,2
Fourchambault,2
Fourmies,1
Foyer Dents-du-Midi,1
Foëcy,1
Fraisses - Unieux,1
Franchet d'Esperey,3
Francheville,1
Frankenthal Hbf,1
Frankfurt (Main) Hbf,3
Frankfurt (Main) Süd,1
Franois,3
Frasne,7
Frastanz,1
Fraubrunnen,2
Frauenfeld,7
Frauenfeld Marktplatz,1
Freibergen,2
Freiburg(Breisgau) Hbf,2
Freiburg(Breisgau) Herdern,2
Freiburg(Breisgau) St. Georgen,1
Freiburg(Breisgau) Zähringen,2
Freienbach SBB,3
Freienbach SOB,2
Frenkendorf-Füllinsdorf,2
Fribourg/Freiburg,12
Fribourg/Freiburg Poya,1
Frick,3
Frickenhausen,1
Frickenhausen-Kelterstrasse,1
Fridingen (b Tuttlingen),1
Friedrichshafen Landratsamt,1
Friedrichshafen Ost,1
Friedrichshafen Stadt,2
Friedrichshafen-Fischbach,1
Friedrichshafen-Hafen,2
Friedrichshafen-Kluftern,1
Friedrichshafen-Manzell,1
Friesenheim (Baden),2
Frinvillier-Taubenloch,2
Froncles,3
Frontenex,1
Frouard,3
Frutigen,3
Fruttli,1
Fräschels,1
Ftan Baraigla,2
Fumay,1
